name,nickname,lat,lon,elevation,diameter,skycam_link,weather_link,robotic,fixed_location
ztf,,33.3563,-116.8648,1742,,,,,
T-BRO,,,,,,,,,
Abastumani-T70,,41.754021,42.820776,1610,,,,,
TRT,,,,,,,,,
Omegon203,,,,,,,,,
VIRT,,18.35234,-64.9568,420,,,,,
T-PDA,,,,,,,,,
T-GAL,,,,,,,,,
T40-A77DAU,,,,,,,,,
FRAM-Auger,,,,,,,,,
Iris,,43.933,5.7147,648,,,,,
T-CAT,,,,,,,,,
iTel-17,,,,,,,,,
C11-BATY,,,,,,,,,
Beverly-Begg,,,,,,,,,
MSXD-A77,,,,,,,,,
Vallieres,,,,,,,,,
C11FREE,,,,,,,,,
iTel-24,,,,,,,,,
T-GRA,,,,,,,,,
RIT,,,,,,,,,
N250-ROU,,,,,,,,,
Teams,,,,,,,,,
Uranoscope,,,,,,,,,
UBAI/NT-60,,38.67,66.39,2593,,,,,
Montarrenti,,,,,,,,,
K26,,,,,,,,,
Gallinero,,,,,,,,,
SUTO2,,,,,,,,,
Simon,,,,,,,,,
Tibet-50,,,,,,,,,
